1,"Bayern München",FCB,fc-bayern-muenchen-wappen.png,A,0,0
2,"Borussia Dortmund",BVB,borussia-dortmund-wappen.png,A,0,0
3,"Bayer Leverkusen",B04,bayer-04-leverkusen-wappen.png,A,0,0
4,"FC Schalke 04",S04,fc-schalke-04-wappen.png,A,0,0
5,"SC Freiburg",SCF,sc-freiburg-wappen.png,A,0,0
6,"Eintracht Frankfurt",FFM,eintracht-frankfurt-wappen.png,A,0,0
7,"Hamburger SV",HSV,hamburger-sv-wappen.png,A,0,0
8,"Bor. Mönchengladbach",BMG,borussia-moenchengladbach-wappen.png,A,0,0
9,"Hannover 96",H96,hannover-96-wappen.png,A,0,0
10,"SC Paderborn",SCP,paderborn.png,A,0,0
11,"VfL Wolfsburg",WOB,vfl-wolfsburg-wappen.png,A,0,0
12,"VfB Stuttgart",VFB,vfb-stuttgart-wappen.png,A,0,0
13,"1. FSV Mainz 05",M05,fsv-mainz-05-wappen.png,A,0,0
14,"Werder Bremen",BRE,werder-bremen-wappen.png,A,0,0
15,"FC Augsburg",FCA,fc-augsburg-wappen.png,A,0,0
16,"1899 Hoffenheim",HOF,tsg-1899-hoffenheim-wappen.png,A,0,0
17,"Hertha BSC Berlin",BSC,Hertha_BSC.png,A,0,0
18,"1. FC Köln",FCK,fc_koeln.png,A,0,0
